run_id	step	c2st_metric
two_moons_with_score_1652199016_eef895cf	0	0.7623999714851379
two_moons_with_score_1652199016_eef895cf	1	0.727649986743927
two_moons_with_score_1652199016_eef895cf	2	0.6712999939918518
two_moons_with_score_1652199016_eef895cf	3	0.609250009059906
two_moons_with_score_1652199016_eef895cf	4	0.5702499747276306
two_moons_with_score_1652199016_eef895cf	5	0.5747500061988831
two_moons_with_score_1652199032_5b684f7a	0	0.7618499994277954
two_moons_with_score_1652199032_5b684f7a	1	0.6870499849319458
two_moons_with_score_1652199032_5b684f7a	2	0.6796000003814697
two_moons_with_score_1652199032_5b684f7a	3	0.6355999708175659
two_moons_with_score_1652199032_5b684f7a	4	0.5733500123023987
two_moons_with_score_1652199032_5b684f7a	5	0.578249990940094
two_moons_with_score_1652199161_83208fac	0	0.7544000148773193
two_moons_with_score_1652199161_83208fac	1	0.692550003528595
two_moons_with_score_1652199161_83208fac	2	0.6556000113487244
two_moons_with_score_1652199161_83208fac	3	0.6197999715805054
two_moons_with_score_1652199161_83208fac	4	0.5935999751091003
two_moons_with_score_1652199161_83208fac	5	0.5837000012397766
two_moons_with_score_1652199186_84906ecc	0	0.7419499754905701
two_moons_with_score_1652199186_84906ecc	1	0.684249997138977
two_moons_with_score_1652199186_84906ecc	2	0.6482499837875366
two_moons_with_score_1652199186_84906ecc	3	0.6261500120162964
two_moons_with_score_1652199186_84906ecc	4	0.5971500277519226
two_moons_with_score_1652199186_84906ecc	5	0.5806499719619751
two_moons_with_score_1652199220_22df33d4	0	0.7767500281333923
two_moons_with_score_1652199220_22df33d4	1	0.702049970626831
two_moons_with_score_1652199220_22df33d4	2	0.6610000133514404
two_moons_with_score_1652199220_22df33d4	3	0.6084499955177307
two_moons_with_score_1652199220_22df33d4	4	0.5806000232696533
two_moons_with_score_1652199220_22df33d4	5	0.5888500213623047
two_moons_with_score_1652199237_e849423c	0	0.7536500096321106
two_moons_with_score_1652199237_e849423c	1	0.7099000215530396
two_moons_with_score_1652199237_e849423c	2	0.6635000109672546
two_moons_with_score_1652199237_e849423c	3	0.625249981880188
two_moons_with_score_1652199237_e849423c	4	0.5837000012397766
two_moons_with_score_1652199237_e849423c	5	0.57669997215271
two_moons_with_score_1652200844_843ead6f	0	0.7536500096321106
two_moons_with_score_1652200844_843ead6f	1	0.6964499950408936
two_moons_with_score_1652200844_843ead6f	2	0.6490499973297119
two_moons_with_score_1652200844_843ead6f	3	0.5784000158309937
two_moons_with_score_1652200844_843ead6f	4	0.5944499969482422
two_moons_with_score_1652200844_843ead6f	5	0.5750499963760376
two_moons_with_score_1652200902_c536a36f	0	0.7576000094413757
two_moons_with_score_1652200902_c536a36f	1	0.7011500000953674
two_moons_with_score_1652200902_c536a36f	2	0.6460999846458435
two_moons_with_score_1652200902_c536a36f	3	0.603600025177002
two_moons_with_score_1652200902_c536a36f	4	0.5666000247001648
two_moons_with_score_1652200902_c536a36f	5	0.5608000159263611
two_moons_with_score_1652200934_a11c4193	0	0.7699999809265137
two_moons_with_score_1652200934_a11c4193	1	0.6904500126838684
two_moons_with_score_1652200934_a11c4193	2	0.6504999995231628
two_moons_with_score_1652200934_a11c4193	3	0.5904499888420105
two_moons_with_score_1652200934_a11c4193	4	0.5690000057220459
two_moons_with_score_1652200934_a11c4193	5	0.5905500054359436
two_moons_with_score_1652200967_ecba47aa	0	0.7594500184059143
two_moons_with_score_1652200967_ecba47aa	1	0.6955000162124634
two_moons_with_score_1652200967_ecba47aa	2	0.6201500296592712
two_moons_with_score_1652200967_ecba47aa	3	0.6164500117301941
two_moons_with_score_1652200967_ecba47aa	4	0.6019499897956848
two_moons_with_score_1652200967_ecba47aa	5	0.5546000003814697